sampleId	chr14	chr2	chr22	chr7	igh	ighc	trb
E0007-p4---CW66_cap-15	221.56	236.63	182.35	243.98	252.55	149.06	121.65
E0008-6p3---CW66_cap-15	164.47	142.74	115.9	177.94	159.42	85.91	80.4
E0012-p3---CW66_cap-6	44.84	55.22	52.29	58.15	71.87	60.82	30.4
E0013-p3---CW66_cap-8	166.82	240.31	165.98	182.73	258.58	148.86	109.15
E0032-p3---CW66_cap-8	177.83	248.24	174.24	183.7	270.97	142.55	107.29
E0044-6p2---CW66_cap-14	271.19	261.32	200.94	309.93	323.72	172.49	138.14
E0047-6p4---CW66_cap-26	166.21	193.83	137.3	178.6	207.5	119.99	98.12
E0048-6p4---CW66_cap-26	209.46	257.54	209.44	251.27	309.76	182.44	127.66
E0049-6p2---CW66_cap-14	284.27	270.23	212.37	281.24	309.2	155.56	144.27
E0052-pre3---CW66_cap-15	199.97	173.92	131.47	218.97	173.29	98.53	98.18
E0055-6p2---CW66_cap-15	221.95	203.26	156.2	226.38	214.03	115.45	109.81
E0061-p2---CW66_cap-27	163.2	164.25	143.59	183.58	187.37	123.33	98.68
E0070-pre3---CW66_cap-6	33.39	96.25	77.55	42.69	109.31	81.24	23.52
E0076-p3---CW66_cap-14	271.4	283.0	222.93	321.59	312.62	184.98	141.1
E0106-6p2---CW66_cap-6	42.43	62.33	50.03	51.07	63.1	54.46	30.29
E0108-p3---CW66_cap-8	219.1	210.63	131.74	234.6	196.92	107.82	111.66
E0114-p3---CW66_cap-8	148.99	206.71	156.13	148.95	237.16	126.88	91.52
E0115-p0---CW66_cap-6	42.11	519.1	411.33	51.18	527.7	437.77	29.47
E0118-p0---CW66_cap-14	235.47	203.53	158.37	251.18	226.72	125.37	115.53
E0125-6p4---CW66_cap-26	265.79	254.54	199.5	274.87	272.57	143.69	133.04
E0140-p2---CW66_cap-8	135.08	186.33	141.95	191.37	201.75	122.79	81.9
E0142-p3---CW66_cap-6	23.18	36.82	27.5	24.47	41.41	26.78	16.38
E0143-12p2---CW66_cap-26	94.33	104.99	77.69	104.38	107.64	68.6	55.26
E0153-p0---CW66_cap-25	225.14	263.18	174.12	243.24	272.26	145.36	124.77
E0160-6p2---CW66_cap-8	208.18	214.21	160.08	220.34	242.03	131.8	111.89
E0179-p3---CW66_cap-27	217.52	200.41	196.71	251.35	227.02	220.82	131.77
E0182-6p3---CW66_cap-15	66.19	70.17	57.97	67.78	77.56	43.69	35.33
E0184-6p2---CW66_cap-27	82.04	64.85	75.59	97.35	90.81	65.83	50.57
E0202-pre3---CW66_cap-27	103.14	124.66	104.89	115.22	132.26	89.97	67.03
E0209-pre3---CW66_cap-12	286.27	274.47	213.73	327.82	306.02	142.03	142.46
E0210-p0---CW66_cap-12	161.94	139.98	109.41	172.35	157.21	74.01	78.59
E0217-pre3---CW66_cap-14	249.46	259.69	204.57	240.22	297.57	148.03	137.2
E0219-p3---CW66_cap-15	58.63	57.17	46.44	67.48	65.75	34.46	30.39
E0229-pre4---CW66_cap-26	113.7	131.68	106.73	132.13	142.85	76.13	64.98
E0233-pre4---CW66_cap-26	147.32	153.91	119.52	159.45	162.0	98.57	81.53
H0008-6p2---CW66_cap-27	186.51	208.53	189.2	217.11	228.19	177.49	124.16
H0012-6p2---CW66_cap-14	239.31	204.36	157.85	260.9	222.02	99.42	113.17
H0017-p3---CW66_cap-15	358.68	334.74	271.91	420.28	382.03	185.32	183.8
H0020-p3---CW66_cap-27	238.48	335.36	251.55	245.96	317.28	232.89	149.38
H0025-p0---CW66_cap-6	16.78	21.4	20.21	19.95	22.41	16.97	11.38
H0036-p2---CW66_cap-27	206.87	331.13	306.2	219.55	394.11	367.2	140.2
H0037-pre3---CW66_cap-6	25.14	49.54	34.32	30.16	57.31	32.75	15.63
H0038-p0---CW66_cap-12	208.28	216.18	165.31	218.88	229.86	122.97	110.43
H0039-p0---CW66_cap-12	119.59	149.96	108.87	146.02	156.25	86.87	68.19
H0040-p0---CW66_cap-12	125.22	153.3	122.13	147.55	167.19	90.0	72.55
H0041-pre3---CW66_cap-12	175.47	219.02	159.76	185.63	232.46	116.65	96.77
H0047-p3---CW66_cap-25	172.32	209.16	164.72	168.71	236.0	138.38	97.53
H0058-pre3---CW66_cap-26	115.24	148.93	116.1	105.6	159.47	91.53	65.06
